




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Stone Church                  1150                          642                           55.83%
University                    704                           334                           47.44%
Morrison                      1329                          592                           44.54%
Abel                          938                           370                           39.45%
Calhoun                       1161                          432                           37.21%
Clemson                       1766                          989                           56.00%
Issaqueena                    783                           423                           54.02%
West Central                  983                           298                           30.32%
North Central                 1014                          532                           52.47%
Pike                          963                           513                           53.27%
Lawrence Chapel               1190                          666                           55.97%
Norris                        1102                          582                           52.81%
Six Mile                      1346                          738                           54.83%
Six Mile Mountain             1411                          748                           53.01%
Praters Creek                 847                           444                           52.42%
Mountain View                 1505                          666                           44.25%
Albert R. Lewis               1207                          646                           53.52%
Holly Springs                 1459                          768                           52.64%
Pumpkintown                   1402                          809                           57.70%
Griffin                       1382                          779                           56.37%
North Pickens                 1258                          610                           48.49%
West Pickens                  1279                          619                           48.40%
South Pickens                 1097                          485                           44.21%
East Pickens                  1174                          616                           52.47%
Glassy Mountain               1173                          559                           47.66%
Cedar Rock                    1196                          616                           51.51%
Skelton                       1084                          571                           52.68%
Rices Creek                   1181                          592                           50.13%
West Liberty                  1192                          628                           52.68%
East Liberty                  1081                          526                           48.66%
Flat Rock                     1202                          628                           52.25%
Zion                          1133                          528                           46.60%
Smith Grove                   889                           371                           41.73%
Arial Mill                    996                           452                           45.38%
Simpson                       1100                          386                           35.09%
Woodside                      1443                          673                           46.64%
Brushy Creek                  1572                          814                           51.78%
Pickensville                  1028                          502                           48.83%
Easley                        1178                          519                           44.06%
Forest Acres                  991                           542                           54.69%
Crestview                     1165                          656                           56.31%
Sitton                        1344                          752                           55.95%
Rock Springs                  1286                          643                           50.00%
Saluda                        1112                          539                           48.47%
Crosswell                     1386                          679                           48.99%
Georges Creek                 1025                          572                           55.80%
McKissick                     1223                          579                           47.34%
Vinland                       1013                          497                           49.06%
Crossroads                    1220                          507                           41.56%
Dacusville                    1034                          384                           37.14%
Nine Forks                    1174                          566                           48.21%
South Central                 1104                          451                           40.85%
Crescent Hill                 1244                          585                           47.03%
North Liberty                 1083                          480                           44.32%
Pendleton                     986                           462                           46.86%
Fruit Mountain                868                           348                           40.09%
Pope Field                    939                           421                           44.83%
Sheffield                     1340                          738                           55.07%
Tri County                    550                           326                           59.27%
McAllister                    1138                          517                           45.43%
Lenhart                       1019                          446                           43.77%
Absentee                      0                             3786                          0.00%
Emergency                     0                             708                           0.00%
Failsafe                      0                             60                            0.00%
Provisional                   0                             68                            0.00%
Failsafe Provisional          0                             36                            0.00%
Total:                        70142                         39014                         55.62%

                                                                                                                                                                                                     STRAIGHT PARTY (Vote For 1)
                                                            Democratic                                                  Working Families                                            United Citizens                                             Green                                                       Republican                                                  American                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Tri County                    550                           41                            41                            0                             0                             0                             0                             1                             1                             135                           135                           3                             3                             180                           
McAllister                    1138                          61                            61                            5                             5                             2                             2                             0                             0                             233                           233                           2                             2                             303                           
Lenhart                       1019                          60                            60                            3                             3                             0                             0                             0                             0                             212                           212                           2                             2                             277                           
Absentee                      0                             582                           582                           3                             3                             2                             2                             3                             3                             1731                          1731                          7                             7                             2328                          
Emergency                     0                             46                            46                            0                             0                             0                             0                             1                             1                             350                           350                           0                             0                             397                           
Failsafe                      0                             9                             9                             0                             0                             0                             0                             0                             0                             30                            30                            1                             1                             40                            
Provisional                   0                             12                            12                            1                             1                             0                             0                             0                             0                             30                            30                            1                             1                             44                            
Failsafe Provisional          0                             8                             8                             0                             0                             0                             0                             0                             0                             17                            17                            1                             1                             26                            
Totals:                       70142                         4371                          4371                          93                            93                            55                            55                            41                            41                            18032                         18032                         113                           113                           22705                         

                                                                                                           Governor and Lieutenant Governor (Vote For 1)
                                                            James Smith / Mandy Powers Norrell                          Henry McMaster / Pamela Evette                              Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Stone Church                  1150                          363                           363                           271                           271                           1                             1                             635                           
University                    704                           175                           175                           154                           154                           0                             0                             329                           
Morrison                      1329                          319                           319                           264                           264                           0                             0                             583                           
Abel                          938                           247                           247                           118                           118                           0                             0                             365                           
Calhoun                       1161                          259                           259                           166                           166                           1                             1                             426                           
Clemson                       1766                          491                           491                           489                           489                           1                             1                             981                           
Issaqueena                    783                           239                           239                           176                           176                           2                             2                             417                           
West Central                  983                           155                           155                           140                           140                           3                             3                             298                           
North Central                 1014                          163                           163                           359                           359                           2                             2                             524                           
Pike                          963                           220                           220                           286                           286                           2                             2                             508                           
Lawrence Chapel               1190                          203                           203                           457                           457                           2                             2                             662                           
Norris                        1102                          106                           106                           465                           465                           2                             2                             573                           
Six Mile                      1346                          109                           109                           622                           622                           1                             1                             732                           
Six Mile Mountain             1411                          160                           160                           574                           574                           2                             2                             736                           
Praters Creek                 847                           46                            46                            391                           391                           0                             0                             437                           
Mountain View                 1505                          136                           136                           529                           529                           1                             1                             666                           
Albert R. Lewis               1207                          93                            93                            543                           543                           1                             1                             637                           
Holly Springs                 1459                          166                           166                           601                           601                           0                             0                             767                           
Pumpkintown                   1402                          184                           184                           614                           614                           1                             1                             799                           
Griffin                       1382                          135                           135                           636                           636                           0                             0                             771                           
North Pickens                 1258                          98                            98                            508                           508                           0                             0                             606                           
West Pickens                  1279                          127                           127                           481                           481                           4                             4                             612                           
South Pickens                 1097                          144                           144                           333                           333                           2                             2                             479                           
East Pickens                  1174                          75                            75                            532                           532                           0                             0                             607                           
Glassy Mountain               1173                          64                            64                            488                           488                           1                             1                             553                           
Cedar Rock                    1196                          106                           106                           504                           504                           0                             0                             610                           
Skelton                       1084                          72                            72                            493                           493                           1                             1                             566                           
Rices Creek                   1181                          107                           107                           475                           475                           1                             1                             583                           
West Liberty                  1192                          107                           107                           515                           515                           0                             0                             622                           
East Liberty                  1081                          99                            99                            421                           421                           1                             1                             521                           
Flat Rock                     1202                          110                           110                           514                           514                           2                             2                             626                           
Zion                          1133                          102                           102                           423                           423                           0                             0                             525                           
Smith Grove                   889                           87                            87                            279                           279                           0                             0                             366                           
Arial Mill                    996                           89                            89                            358                           358                           3                             3                             450                           
Simpson                       1100                          214                           214                           161                           161                           1                             1                             376                           
Woodside                      1443                          231                           231                           433                           433                           5                             5                             669                           
Brushy Creek                  1572                          221                           221                           583                           583                           3                             3                             807                           
Pickensville                  1028                          133                           133                           367                           367                           1                             1                             501                           
Easley                        1178                          148                           148                           365                           365                           0                             0                             513                           
Forest Acres                  991                           165                           165                           373                           373                           0                             0                             538                           
Crestview                     1165                          134                           134                           517                           517                           2                             2                             653                           
Sitton                        1344                          168                           168                           570                           570                           2                             2                             740                           
Rock Springs                  1286                          146                           146                           493                           493                           1                             1                             640                           
Saluda                        1112                          141                           141                           394                           394                           0                             0                             535                           
Crosswell                     1386                          124                           124                           543                           543                           2                             2                             669                           
Georges Creek                 1025                          144                           144                           424                           424                           3                             3                             571                           
McKissick                     1223                          173                           173                           394                           394                           4                             4                             571                           
Vinland                       1013                          73                            73                            422                           422                           0                             0                             495                           
Crossroads                    1220                          97                            97                            405                           405                           0                             0                             502                           
Dacusville                    1034                          55                            55                            321                           321                           1                             1                             377                           
Nine Forks                    1174                          82                            82                            473                           473                           5                             5                             560                           
