




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
DOVE TREE                     1992                          158                           158                           4                             4                             1                             1                             0                             0                             4                             4                             357                           357                           2                             2                             526                           
DUNKLIN                       2236                          107                           107                           3                             3                             0                             0                             0                             0                             1                             1                             615                           615                           1                             1                             727                           
EASTSIDE                      2344                          185                           185                           4                             4                             1                             1                             0                             0                             2                             2                             443                           443                           6                             6                             641                           
EBENEZER                      2139                          95                            95                            2                             2                             3                             3                             0                             0                             0                             0                             529                           529                           4                             4                             633                           
EDWARDS FOREST                2333                          172                           172                           4                             4                             0                             0                             0                             0                             3                             3                             461                           461                           2                             2                             642                           
ENOREE                        2872                          282                           282                           7                             7                             1                             1                             0                             0                             3                             3                             518                           518                           4                             4                             815                           
FEASTER                       1387                          140                           140                           2                             2                             0                             0                             0                             0                             0                             0                             180                           180                           2                             2                             324                           
FORK SHOALS                   1814                          84                            84                            2                             2                             2                             2                             0                             0                             0                             0                             522                           522                           8                             8                             618                           
FOUNTAIN INN 1                3153                          532                           532                           8                             8                             4                             4                             0                             0                             4                             4                             507                           507                           5                             5                             1060                          
FOUNTAIN INN 2                1435                          146                           146                           1                             1                             1                             1                             0                             0                             0                             0                             250                           250                           4                             4                             402                           
FURMAN                        2687                          275                           275                           4                             4                             1                             1                             0                             0                             1                             1                             549                           549                           3                             3                             833                           
GOWENSVILLE                   1970                          129                           129                           4                             4                             1                             1                             0                             0                             2                             2                             598                           598                           5                             5                             739                           
