




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
ANTIOCH                       1851                          1274                          68.83%
AUBURN                        729                           481                           65.98%
BETHEL                        756                           520                           68.78%
BLACK CREEK-CLYDE             1271                          885                           69.63%
BURNT BRANCH                  772                           561                           72.67%
Darlington No. 1              407                           231                           56.76%
Darlington No. 2              1679                          1045                          62.24%
Darlington No. 4              1623                          1056                          65.06%
Darlington No. 5              1949                          1215                          62.34%
DOVESVILLE                    1630                          1139                          69.88%
Hartsville No. 1              1346                          981                           72.88%
Hartsville No. 4              1051                          590                           56.14%
Hartsville No. 5              2554                          1746                          68.36%
Hartsville No. 6              1755                          1032                          58.80%
Hartsville No. 7              1197                          684                           57.14%
Hartsville No. 8              2831                          2069                          73.08%
HIGH HILL                     2844                          1870                          65.75%
INDIAN BRANCH                 661                           473                           71.56%
KELLEYTOWN                    1972                          1476                          74.85%
LAKE SWAMP                    1405                          994                           70.75%
Lamar No. 1                   892                           625                           70.07%
Lamar No. 2                   1625                          1149                          70.71%
LYDIA                         750                           500                           66.67%
MECHANICSVILLE                1858                          1268                          68.25%
NEW MARKET                    1097                          776                           70.74%
OATES                         1023                          759                           74.19%
PALMETTO                      2051                          1440                          70.21%
SOCIETY HILL                  816                           552                           67.65%
SWIFT CREEK                   994                           677                           68.11%
Darlington No. 3              2975                          2155                          72.44%
Darlington No. 6              1811                          1192                          65.82%
Hartsville No. 9              1859                          1228                          66.06%
Failsafe                      0                             0                             0.00%
Provisional                   0                             39                            0.00%
Failsafe Provisional          0                             7                             0.00%
Total:                        48034                         32689                         68.05%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       STRAIGHT PARTY 1 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
Hartsville No. 7              1197                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             124                           90                            17                            0                             0                             0                             231                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             71                            144                           21                            0                             0                             0                             236                           468                           
Hartsville No. 8              2831                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             452                           357                           68                            0                             0                             0                             877                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             57                            138                           24                            0                             0                             0                             219                           1097                          
HIGH HILL                     2844                          0                             0                             1                             0                             0                             0                             1                             1                             1                             0                             0                             0                             0                             2                             330                           291                           33                            0                             0                             0                             654                           0                             1                             0                             0                             0                             0                             1                             3                             1                             0                             0                             0                             0                             4                             265                           381                           80                            0                             0                             0                             726                           1388                          
INDIAN BRANCH                 661                           6                             0                             0                             0                             0                             0                             6                             0                             0                             0                             0                             0                             0                             0                             151                           66                            4                             0                             0                             0                             221                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             32                            57                            7                             0                             0                             0                             96                            323                           
KELLEYTOWN                    1972                          0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             2                             311                           291                           63                            0                             0                             0                             665                           0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             30                            89                            21                            0                             0                             0                             140                           809                           
LAKE SWAMP                    1405                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             240                           138                           9                             0                             0                             0                             387                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             107                           194                           38                            0                             0                             0                             339                           726                           
Lamar No. 1                   892                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             111                           41                            5                             0                             0                             0                             157                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             166                           85                            36                            0                             0                             0                             287                           444                           
Lamar No. 2                   1625                          0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             325                           134                           14                            0                             0                             0                             473                           0                             0                             0                             0                             0                             0                             0                             3                             0                             0                             0                             0                             0                             3                             192                           98                            34                            0                             0                             0                             324                           801                           
LYDIA                         750                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             73                            18                            5                             0                             0                             0                             96                            0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             112                           109                           8                             0                             0                             0                             229                           326                           
MECHANICSVILLE                1858                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             191                           145                           18                            0                             0                             0                             354                           0                             0                             0                             0                             0                             0                             0                             1                             2                             0                             0                             0                             0                             3                             135                           328                           45                            0                             0                             0                             508                           866                           
NEW MARKET                    1097                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             280                           99                            8                             0                             0                             0                             387                           0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             22                            37                            9                             0                             0                             0                             68                            457                           
OATES                         1023                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             191                           104                           10                            0                             0                             0                             305                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             99                            74                            26                            0                             0                             0                             199                           505                           
PALMETTO                      2051                          1                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             195                           245                           24                            0                             0                             0                             464                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             156                           321                           65                            0                             0                             0                             542                           1008                          
SOCIETY HILL                  816                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             83                            23                            5                             0                             0                             0                             111                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             172                           82                            24                            0                             0                             0                             278                           390                           
SWIFT CREEK                   994                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             173                           92                            14                            0                             0                             0                             279                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             75                            89                            9                             0                             0                             0                             173                           453                           
Darlington No. 3              2975                          1                             0                             0                             0                             0                             0                             1                             2                             0                             0                             0                             0                             0                             2                             251                           423                           32                            0                             0                             0                             706                           0                             0                             1                             0                             0                             0                             1                             1                             1                             0                             0                             0                             0                             2                             115                           392                           57                            0                             0                             0                             564                           1276                          
Darlington No. 6              1811                          1                             1                             0                             0                             0                             0                             2                             0                             2                             0                             0                             0                             0                             2                             185                           220                           26                            0                             0                             0                             431                           0                             0                             0                             0                             0                             0                             0                             3                             0                             0                             0                             0                             0                             3                             125                           236                           42                            0                             0                             0                             403                           841                           
Hartsville No. 9              1859                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             223                           153                           23                            0                             0                             0                             399                           0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             2                             115                           181                           43                            0                             0                             0                             339                           740                           
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
